Id,SalePrice
1461,-6000028310395515.0
1462,502667701277440.1
1463,-1277109799312699.2
1464,-1508753963400381.0
1465,-444270995785253.56
1466,-2840367064460199.5
1467,-1719143001784874.0
1468,-3839385993238748.0
1469,640750081276311.9
1470,-6336745286092813.0
1471,621211600903680.4
1472,-9739247453152628.0
1473,-8628686750615775.0
1474,-3152510706671205.0
1475,-7507295970119099.0
1476,9584232285532328.0
1477,3644062526317356.0
1478,6098834485368012.0
1479,8030134487019903.0
1480,2.2061647167452676e+16
1481,9730847401395836.0
1482,909844017116514.2
1483,178951129103844.44
1484,-2636143110451078.5
1485,-4542261272960270.0
1486,-1556450422461349.5
1487,1.065702720619877e+16
1488,4447338350197773.0
1489,-1490602544065968.8
1490,2822299399230241.5
1491,-2186675475203078.0
1492,-4615787139122761.0
1493,5626320762518300.0
1494,9193707927970826.0
1495,7081206557373203.0
1496,3106523146300449.0
1497,-1966669135101879.5
1498,-7237514367535230.0
1499,-7088888296904148.0
1500,-6977280635162591.0
1501,-3713797830033783.0
1502,-8675653301696998.0
1503,1796911675449057.0
1504,503295141883677.2
1505,3046114252065054.5
1506,8267249148752321.0
1507,7710681481289527.0
1508,3892771506989997.5
1509,-1145933645886688.5
1510,-1084846375868764.8
1511,-1351298684315774.0
1512,3376599135739156.0
1513,1702967739728829.2
1514,6940255435453695.0
1515,1.3835713009244392e+16
1516,-899165703180259.1
1517,-2628365034764372.5
1518,4589092907234759.0
1519,2951325114500356.5
1520,-1961520565833126.2
1521,-1431194382140387.0
1522,4610603736489516.0
1523,-4277202127881929.5
1524,-3704353130445417.5
1525,-5193248018447165.0
1526,-4972026296791255.0
1527,-4911273265042668.0
1528,-4515108774215235.0
1529,-967895170087359.5
1530,2271963112711432.5
1531,2314229681226786.5
1532,-5778578835129542.0
1533,3814305197248514.0
1534,-4884154194779573.0
1535,-340222350730334.0
1536,-2694407742418357.0
1537,-7476468220855713.0
1538,-1879403874433824.8
1539,5287557005310608.0
1540,4622993350095843.0
1541,-2923333549586358.5
1542,-421761260498168.75
1543,3674401966576308.0
1544,-8575686753527101.0
1545,-7525664490479358.0
1546,-4810760179299377.0
1547,-1742638890016288.0
1548,-4162359878927244.5
1549,-8749682659054564.0
1550,-1974593258254338.2
1551,-3632514580750774.0
1552,315264938092080.7
1553,-3302958431117120.5
1554,-5930994046643645.0
1555,6064824041375875.0
1556,-5979697965871371.0
1557,-139028614700069.69
1558,-9046555101238384.0
1559,467578654484706.94
1560,-836557776519830.9
1561,8367049833536641.0
1562,-5130740270869969.0
1563,-6860596926248774.0
1564,1333689661839937.8
1565,-3217249990214797.5
1566,3011483157999878.0
1567,-8708845190064097.0
1568,2808570123465321.5
1569,1698825056466982.2
1570,-2326376315352555.5
1571,-3119077139600533.5
1572,-1961934401154700.2
1573,3434272465033774.5
1574,-201316392010110.97
1575,2276074273676247.0
1576,212562656495104.53
1577,-1421230922807681.5
1578,-3487726546345192.0
1579,-5186700797362079.0
1580,-1306265962987275.8
1581,-2410094181826858.5
